provider,title,type,release_year,rating,genre
Amazon Prime,"""Mixed Up""",Movie,2020,For Ages 16 and Above,Drama
Amazon Prime,"""Mixed Up""",Movie,2020,For Ages 16 and Above,Romance
Amazon Prime,"""The Paramedic Angel""",TV Show,2021,For All Ages,Drama
Netflix,#Alive,Movie,2020,Mature Audience Only,Thriller
Netflix,#Alive,Movie,2020,Mature Audience Only,International
Netflix,#Alive,Movie,2020,Mature Audience Only,Horror
Netflix,#AnneFrank - Parallel Stories,Movie,2019,Parents Strongly Cautioned,International
Netflix,#AnneFrank - Parallel Stories,Movie,2019,Parents Strongly Cautioned,Documentary
Netflix,#FriendButMarried,Movie,2018,General Audience,International
Netflix,#FriendButMarried,Movie,2018,General Audience,Drama
Netflix,#FriendButMarried,Movie,2018,General Audience,Romance
Netflix,#FriendButMarried 2,Movie,2020,General Audience,International
Netflix,#FriendButMarried 2,Movie,2020,General Audience,Drama
Netflix,#FriendButMarried 2,Movie,2020,General Audience,Romance
Amazon Prime,#Home,Movie,2021,For Ages 13 and Above,Drama
Amazon Prime,#Home (4K UHD),Movie,2021,For Ages 13 and Above,Drama
Amazon Prime,#IGotThis,TV Show,2020,Parental Guidance Suggested,Drama
Amazon Prime,#IMomSoHard Live,TV Show,2019,For Ages 16 and Above,Arts/Entertainment/Culture
Amazon Prime,#Lagira de #eldisco,TV Show,2019,General Audience,Music Videos and Concerts
Netflix,#Roxy,Movie,2018,Parents Strongly Cautioned,Comedy
Netflix,#Roxy,Movie,2018,Parents Strongly Cautioned,Romance
Netflix,#Rucker50,Movie,2016,Parental Guidance Suggested,Documentary
Netflix,#Rucker50,Movie,2016,Parental Guidance Suggested,Sports
Netflix,#Selfie,Movie,2014,Mature Audience Only,Comedy
Netflix,#Selfie,Movie,2014,Mature Audience Only,International
Netflix,#Selfie,Movie,2014,Mature Audience Only,Drama
Netflix,#Selfie 69,Movie,2016,Mature Audience Only,Comedy
Netflix,#Selfie 69,Movie,2016,Mature Audience Only,International
Netflix,#Selfie 69,Movie,2016,Mature Audience Only,Drama
Amazon Prime,#Unfit: The Psychology of Donald Trump,Movie,2020,For Ages 13 and Above,Drama
Amazon Prime,#Unfit: The Psychology of Donald Trump,Movie,2020,For Ages 13 and Above,Documentary
Amazon Prime,#WASHED,TV Show,2020,For Ages 18 and Above,Comedy
Amazon Prime,#WASHED,TV Show,2020,For Ages 18 and Above,Drama
Netflix,#blackAF,TV Show,2020,Mature Audience Only,Comedy
Netflix,#cats_the_mewvie,Movie,2020,Parents Strongly Cautioned,International
Netflix,#cats_the_mewvie,Movie,2020,Parents Strongly Cautioned,Documentary
Netflix,#realityhigh,Movie,2017,Parents Strongly Cautioned,Comedy
Hulu,'71,Movie,2014,Restricted,Drama
Hulu,'71,Movie,2014,Restricted,Adventure
Hulu,'71,Movie,2014,Restricted,Action
Netflix,'76,Movie,2016,Parental Guidance Suggested,International
Netflix,'76,Movie,2016,Parental Guidance Suggested,Drama
Netflix,'89,Movie,2017,Parental Guidance Suggested,Sports
Amazon Prime,'Allo 'Allo!,TV Show,1992,For Ages 13 and Above,Comedy
Amazon Prime,(500) Days Of Summer,Movie,2009,Parents Strongly Cautioned,Comedy
Hulu,(Dub) Afro Samurai Resurrection,Movie,2009,Mature Audience Only,Adventure
Hulu,(Dub) Afro Samurai Resurrection,Movie,2009,Mature Audience Only,Action
Hulu,(Dub) Afro Samurai Resurrection,Movie,2009,Mature Audience Only,Adult Animation
Hulu,(Dub) Akira,Movie,1988,Restricted,Action
Hulu,(Dub) Akira,Movie,1988,Restricted,Anime
Hulu,(Dub) Akira,Movie,1988,Restricted,Adult Animation
Hulu,(Dub) Mass Effect: Paragon Lost,Movie,2013,Mature Audience Only,Adventure
Hulu,(Dub) Mass Effect: Paragon Lost,Movie,2013,Mature Audience Only,Action
Hulu,(Dub) Mass Effect: Paragon Lost,Movie,2013,Mature Audience Only,Anime
Hulu,(Sub) Akira,Movie,1988,Restricted,Action
Hulu,(Sub) Akira,Movie,1988,Restricted,Anime
Hulu,(Sub) Akira,Movie,1988,Restricted,Adult Animation
Hulu,(Sub) Fafner: Heaven and Earth,Movie,2010,Parents Strongly Cautioned,Adventure
Hulu,(Sub) Fafner: Heaven and Earth,Movie,2010,Parents Strongly Cautioned,Action
Hulu,(Sub) Fafner: Heaven and Earth,Movie,2010,Parents Strongly Cautioned,Anime
Hulu,(Sub) Fairy Tail the Movie: Phoenix Priestess,Movie,2012,Parents Strongly Cautioned,Drama
Hulu,(Sub) Fairy Tail the Movie: Phoenix Priestess,Movie,2012,Parents Strongly Cautioned,Anime
Hulu,(Sub) K MISSING KINGS,Movie,2014,Parental Guidance Suggested,Adventure
Hulu,(Sub) K MISSING KINGS,Movie,2014,Parental Guidance Suggested,Action
Hulu,(Sub) K MISSING KINGS,Movie,2014,Parental Guidance Suggested,Anime
Hulu,(Sub) Legend of Heroes: Trails in the Sky,Movie,2011,Parents Strongly Cautioned,International
Hulu,(Sub) Legend of Heroes: Trails in the Sky,Movie,2011,Parents Strongly Cautioned,Sci-Fi
Hulu,(Sub) Legend of Heroes: Trails in the Sky,Movie,2011,Parents Strongly Cautioned,Anime
Hulu,(Sub) Trigun: Badlands Rumble,Movie,2010,Parents Strongly Cautioned,Adventure
Hulu,(Sub) Trigun: Badlands Rumble,Movie,2010,Parents Strongly Cautioned,Action
Hulu,(Sub) Trigun: Badlands Rumble,Movie,2010,Parents Strongly Cautioned,Anime
Netflix,(T)ERROR,Movie,2015,Not Rated,Documentary
Netflix,(Un)Well,TV Show,2020,Mature Audience Only,Reality
Hulu,.hack//Roots,TV Show,2006,Parents Strongly Cautioned,Adventure
Hulu,.hack//Roots,TV Show,2006,Parents Strongly Cautioned,Action
Hulu,.hack//Roots,TV Show,2006,Parents Strongly Cautioned,Anime
Hulu,.hack//SIGN,TV Show,2002,Directed to Older Children,Drama
Hulu,.hack//SIGN,TV Show,2002,Directed to Older Children,Anime
Netflix,0.03,TV Show,2020,Mature Audience Only,International
Netflix,0.03,TV Show,2020,Mature Audience Only,Drama
Netflix,0.03,TV Show,2020,Mature Audience Only,Sci-Fi
Netflix,0.03,TV Show,2020,Mature Audience Only,Fantasy
Netflix,0.304861111111111,Movie,2016,Mature Audience Only,International
Netflix,0.304861111111111,Movie,2016,Mature Audience Only,Drama
Netflix,0.999305555555556,Movie,2011,Restricted,International
Netflix,0.999305555555556,Movie,2011,Restricted,Horror
Netflix,1 Chance 2 Dance,Movie,2014,Parental Guidance Suggested,Drama
Netflix,1 Chance 2 Dance,Movie,2014,Parental Guidance Suggested,Romance
Netflix,1 Mile to You,Movie,2017,Parents Strongly Cautioned,Drama
Netflix,1 Mile to You,Movie,2017,Parents Strongly Cautioned,Sports
Netflix,1 Mile to You,Movie,2017,Parents Strongly Cautioned,Romance
Hulu,1 Night in San Diego,Movie,2020,For Ages 18 and Above,Comedy
Amazon Prime,1 Night in San Diego,Movie,2020,For Ages 18 and Above,Comedy
Amazon Prime,1/2 New Year,Movie,2019,For Ages 18 and Above,Comedy
Amazon Prime,1/2 New Year,Movie,2019,For Ages 18 and Above,Drama
Amazon Prime,10 Cent Pistol,Movie,2015,For Ages 18 and Above,Suspense
Amazon Prime,10 Cent Pistol,Movie,2015,For Ages 18 and Above,Action
Amazon Prime,10 Day Yoga for Weight Loss Challenge with Chelsey,TV Show,2021,For Ages 13 and Above,Special Interest
Amazon Prime,10 Day Yoga for Weight Loss Challenge with Chelsey,TV Show,2021,For Ages 13 and Above,Fitness
Netflix,10 Days in Sun City,Movie,2017,Parents Strongly Cautioned,Comedy
Netflix,10 Days in Sun City,Movie,2017,Parents Strongly Cautioned,International
Netflix,10 Days in Sun City,Movie,2017,Parents Strongly Cautioned,Romance
Amazon Prime,10 Endrathukulla,Movie,2015,For Ages 13 and Above,Action
Amazon Prime,10 Endrathukulla,Movie,2015,For Ages 13 and Above,Romance
Amazon Prime,10 Hours for Christmas,Movie,2020,For Ages 7 and Above,Comedy
Amazon Prime,10 Hours for Christmas,Movie,2020,For Ages 7 and Above,Kids
Amazon Prime,10 Little Buses & More Counting Songs For Kids - KiiYii,Movie,2020,For All Ages,Kids
Amazon Prime,10 Minute Meditation for Sleep,Movie,2020,For All Ages,Faith/Spirituality
Amazon Prime,10 Minutes Gone,Movie,2019,Restricted,Suspense
Amazon Prime,10 Minutes Gone,Movie,2019,Restricted,Adventure
Amazon Prime,10 Minutes Gone,Movie,2019,Restricted,Action
Amazon Prime,10 Minutes Gone (4K UHD),Movie,2019,Restricted,Suspense
Amazon Prime,10 Minutes Gone (4K UHD),Movie,2019,Restricted,Adventure
Amazon Prime,10 Minutes Gone (4K UHD),Movie,2019,Restricted,Action
Amazon Prime,10 Rillington Place,Movie,1971,Parental Guidance Suggested,Suspense
Amazon Prime,10 Rillington Place,Movie,1971,Parental Guidance Suggested,Drama
Amazon Prime,10 Rillington Place,Movie,1971,Parental Guidance Suggested,Action
Hulu,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Comedy
Hulu,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Drama
Hulu,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Romance
Amazon Prime,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Comedy
Amazon Prime,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Drama
Amazon Prime,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Romance
Disney Plus,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Comedy
Disney Plus,10 Things I Hate About You,Movie,2009,Parents Strongly Cautioned,Drama
